//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
33	85300,59200	89300,70000	-1	281	21	100	25	40	0	Lower Icicle 11A
34	93300,61200	98300,71000	-1	142	42	100	20	40	0	Lower Icicle 11B
35	98300,59200	113800,71000	-1	46	17	100	15	40	0	Lower Icicle 12
36	107800,59200	113800,65200	-1	83	35	100	10	40	0	Lower Icicle 12A
37	79200,70800	93000,81200	-1	51	21	100	10	40	0	Lower Icicle 13
38	85200,70800	93000,79200	-1	265,79	20,20	100,100	30,30	40	0	Lower Icicle 13A
39	79200,71800	81200,78200	-1	293	18	100	30	40	0	Lower Icicle 13B
40	93000,70800	110000,81200	-1	32	21	100	10	40	0	Lower Icicle 14
41	101000,70800	110000,76800	-1	255	31	100	20	40	0	Lower Icicle 14A
42	93000,73800	100000,81200	-1	137	38	100	25	40	0	Lower Icicle 14B
43	102000,77800	110000,83200	-1	138	15	100	30	40	0	Lower Icicle 14C
44	86000,81000	103400,93400	-1	32	21	100	10	40	0	Lower Icicle 15
45	86000,81000	95400,87400	-1	256	35	100	30	40	0	Lower Icicle 15A
46	86000,89400	93400,95400	-1	98	24	100	30	40	0	Lower Icicle 15B
47	96400,81000	102400,90400	-1	143	28	100	25	40	0	Lower Icicle 15C
48	86000,89400	89000,95400	-1	289	1	100	300	40	0	Lower Icicle 15C2
49	212500,41800	217000,56600	-1	137,142	14,14	100,100	25,20	40	0	Upper Icicle 1
50	213000,42800	220000,49600	-1	141,133	15,15	100,100	70,70	40	0	Upper Icicle 1A
51	220400,42000	232900,65900	-1	137,216	10,17	100,100	25,10	40	0	Upper Icicle 2
52	220400,43000	232900,51000	-1	269,268	24,17	100,100	70,80	40	0	Upper Icicle 2A
53	220400,54000	232900,64000	-1	297,144	25,18	100,100	70,80	40	0	Upper Icicle 2B
54	232700,50600	243000,58700	-1	216	10	100	10	40	0	Upper Icicle 3
55	233700,50600	241000,59700	-1	132	35	100	80	40	0	Upper Icicle 3A
56	242600,41500	251600,60000	-1	297,144,132,216	7,7,7,7	100,100,100,100	80,80,80,80	40	0	Upper Icicle 4
57	243600,44500	250600,56000	-1	516	40	100	82	40	0	Upper Icicle 4A
58	258500,35600	289200,44800	-1	297,144,132,216	11,11,11,11	100,100,100,100	80,80,80,80	40	0	Upper Icicle 5
59	260500,33600	282200,40800	-1	502	41	100	94	40	0	Upper Icicle 5A
60	251200,39500	267700,61700	-1	297,144,132,216	15,15,15,15	100,100,100,100	80,80,80,80	40	0	Upper Icicle 6
61	252200,41000	266700,50000	-1	194	44	100	86	40	0	Upper Icicle 6A
62	252200,51000	266700,60000	-1	271	38	100	84	40	0	Upper Icicle 6B
63	268200,40100	287000,60100	-1	297,144,132,216	20,20,20,20	100,100,100,100	80,80,80,80	40	0	Upper Icicle 7
64	269200,40100	280000,50000	-1	270	44	100	90	40	0	Upper Icicle 7A
65	281000,40100	290000,50000	-1	195	44	100	90	40	0	Upper Icicle 7B
66	274200,51000	288000,62100	-1	517	48	100	88	40	0	Upper Icicle 7C
67	290400,51000	318100,64600	-1	297,144,132,216	15,15,15,15	100,100,100,100	80,80,80,80	40	0	Upper Icicle 8
68	292400,54000	307100,58000	-1	244	20	100	98	40	0	Upper Icicle 8A
69	309100,55000	316100,62600	-1	544	39	100	100	40	0	Upper Icicle 8B
70	267300,61100	291400,70000	-1	297,144,132,216	8,8,8,8	100,100,100,100	80,80,80,80	40	0	Upper Icicle 9
71	268300,62100	279000,68000	-1	501	22	100	88	40	0	Upper Icicle 9A
72	280000,62100	290400,68000	-1	530	22	100	94	40	0	Upper Icicle 9B
73	303700,63700	316500,70600	-1	297,144,132,216	5,5,5,5	100,100,100,100	80,80,80,80	40	0	Upper Icicle 10
74	305700,64700	314500,68600	-1	504	22	100	98	40	0	Upper Icicle 10A
75	252200,76400	273900,83600	-1	297,144,132,216	7,7,7,7	100,100,100,100	80,80,80,80	40	0	Upper Icicle 11
76	255200,76400	262900,82600	-1	545	10	100	102	40	0	Upper Icicle 11A
77	263200,76400	272900,82600	-1	272	10	100	102	40	0	Upper Icicle 11B
78	253200,79600	264300,94400	-1	297,144,132,216	10,10,10,10	100,100,100,100	80,80,80,80	40	0	Upper Icicle 12
79	255200,80600	264300,85600	-1	506	10	100	104	40	0	Upper Icicle 12A
80	253200,86600	264300,93400	-1	196	22	100	110	40	0	Upper Icicle 12B
81	160600,52000	208900,54000	-1	233,232	10,10	100,100	15,15	40	0	Upper Icicle 13
82	164600,52000	184600,54000	-1	257	15	100	70	40	0	Upper Icicle 13A
83	188600,52000	207900,54000	-1	259	18	100	80	40	0	Upper Icicle 13B
84	326800,15000	406000,78800	-1	193,242	62,62	100,100	28,76	40	0	Ocean 1
85	356800,15000	406000,78800	-1	81,616	76,76	100,100	86,84	40	0	Ocean 1A
86	4100,59200	82800,144000	-1	97,60	50,50	100,100	25,27	40	0	Ocean 2
87	14100,67200	62800,97200	-1	193,576	48,48	100,100	28,29	40	0	Ocean 2A
88	14100,104000	62800,134000	-1	596	93	100	29	40	0	Ocean 2B
89	118000,78000	244400,143600	-1	97,198	40,100	100,100	25,68	40	0	Ocean 3
90	125000,86000	174000,114000	-1	579,58,610	59,59,59	100,100,100	66,74,78	40	0	Ocean 3A
91	174000,116000	244400,143600	-1	199,615	91,91	100,100	78,80	40	0	Ocean 3B
92	283200,84800	406000,143600	-1	198,193,58	150,50,150	100,100,100	34,28,74	40	0	Ocean 4
93	284200,85800	342200,113800	-1	81,635	33,33	100,100	86,86	40	0	Ocean 4A
94	344200,85800	405000,113800	-1	582,618	40,40	100,100	98,94	40	0	Ocean 4B
95	284200,115800	342200,142600	-1	57,651	40,40	100,100	84,90	40	0	Ocean 4C
96	344200,115800	405000,142600	-1	580,581	33,33	100,100	92,94	40	0	Ocean 4D
97	4100,148200	137600,259200	-1	198,199	157,157	100,100	68,78	40	0	Ocean 5
98	5100,149200	69000,203200	-1	637,603	83,83	100,100	108,114	40	0	Ocean 5A
99	71000,149200	136600,203200	-1	630,631,661	75,75,25	100,100,100	120,120,120	40	0	Ocean 5B
100	5100,205200	69000,258200	-1	638,585	78,78	100,100	110,118	40	0	Ocean 5C
101	71000,205200	136600,258200	-1	606	163	100	120	40	0	Ocean 5D
102	180700,146700	290600,262900	-1	242,198,199	130,130,130	100,100,100	76,68,78	40	0	Ocean 6
103	182700,148700	233600,204700	-1	630,631,661	51,51,51	100,100,100	120,120,120	40	0	Ocean 6A
104	182700,208700	233600,260900	-1	653	148	100	120	40	0	Ocean 6B
105	237600,178700	288600,230900	-1	584	153	100	114	40	0	Ocean 6C
106	291200,146300	404000,238500	-1	97,90	70,70	100,100	25,26	40	0	Ocean 7
107	293200,148300	349000,198000	-1	617,636	63,63	100,100	88,88	40	0	Ocean 7A
108	293200,203000	306000,266000	-1	620	148	100	102	40	0	Ocean 7B
109	351000,170000	406000,225000	-1	622	165	100	116	40	0	Ocean 7C
110	4100,260700	166500,398400	-1	193,60	150,150	100,100	28,27	40	0	Ocean 8
111	14100,270700	74100,320700	-1	583,654	100,100	100,100	112,106	40	0	Ocean 8A
112	96500,338400	156500,388400	-1	602,658	98,98	100,100	100,106	40	0	Ocean 8B
113	14100,270700	71600,320700	-1	604,622	101,101	100,100	120,116	40	0	Ocean 8C
114	98600,338400	156500,388400	-1	584,603	86,86	100,100	114,114	40	0	Ocean 8D
115	168300,359500	259800,398000	-1	97,198	90,90	100,100	25,68	40	0	Ocean 9
116	188300,359500	239800,398000	-1	655	96	100	140	40	0	Ocean 9A
117	237000,203000	305500,265800	-1	97,90	90,90	100,100	25,26	40	0	Ocean 10
118	268800,350800	314300,393800	-1	607	107	100	120	40	0	Ocean 10A
119	320800,364400	406000,397200	-1	242,198	80,80	100,100	76,68	40	0	Ocean 11
120	335800,364400	391000,397200	-1	589	79	100	120	40	0	Ocean 11A
121	314800,242300	323900,244200	-1	761,185,75,71	3,1,1,1	100,100,100,100	20,10,10,10	40	0	Spring Island
122	326400,242400	332400,246600	-1	748,185,75,71	5,2,2,2	100,100,100,100	25,10,10,10	40	0	Spring Island
123	334900,245100	339600,253600	-1	185,75,71	5,2,2	100,100,100	10,10,10	40	0	Spring Island
124	325600,254000	331500,257500	-1	185,75,71	1,1,2	100,100,100	10,10,10	40	0	Spring Island
125	313200,256400	324700,257800	-1	761,185,75,71	3,2,3,2	100,100,100,100	20,10,10,10	40	0	Spring Island
126	313700,247200	316400,255400	-1	761,185,75,71	5,2,2,2	100,100,100,100	20,10,10,10	40	0	Spring Island
127	364800,273300	373900,288800	-1	185,75,71,218,200	3,2,1,1,2	100,100,100,100,100	10,10,10,10,10	40	0	Summer Island
128	353900,292300	376100,301100	-1	528,787	24,24	100,100	30,30	40	0	Summer Island
129	356100,303400	368200,309400	-1	528,787	14,14	100,100	30,30	40	0	Summer Island
130	339200,296200	349700,304100	-1	185,75,71,218,200	2,1,1,2,2	100,100,100,100,100	10,10,10,10,10	40	0	Summer Island
131	340900,307100	353500,323400	-1	528,787	13,13	100,100	30,30	40	0	Summer Island
132	324900,326000	329800,334400	-1	528,552	8,8	100,100	30,30	40	0	Summer Island
133	331100,322700	335900,337000	-1	528,552	13,13	100,100	30,30	40	0	Summer Island
134	319600,332200	324200,342700	-1	528,552	9,9	100,100	30,30	40	0	Summer Island
135	325300,339300	334600,345300	-1	528,552	11,11	100,100	30,30	40	0	Summer Island
136	340200,299500	368900,315500	-1	528,787,552	10,10,10	100,100,100	30,30,30	40	0	Summer Island
137	336900,316800	357100,328600	-1	528,787,552	18,18,18	100,100,100	30,30,30	40	0	Summer Island
138	336000,337000	351700,356500	-1	551,787,552,528	20,20,20,20	100,100,100,100	30,30,30,30	40	0	Summer Island
139	351400,353000	352700,356500	-1	528,787,552	1,2,1	100,100,100	30,30,30	40	0	Summer Island
140	338900,358000	347600,361500	-1	528,787,552	3,2,3	100,100,100	30,30,30	40	0	Summer Island
141	352000,292100	355700,299500	-1	551,787,552,528	7,6,5,7	100,100,100,100	30,30,30,30	40	0	Summer Island
142	345000,293600	345500,299200	-1	551,787,552,528	2,2,2,2	100,100,100	30,30,30	40	0	Summer Island
143	335300,296900	339300,302100	-1	551,787,552,528	7,7,7,7	100,100,100,100	30,30,30,30	40	0	Summer Island
144	351600,308700	354600,319500	-1	551,787,552,528	7,8,7,8	100,100,100,100	30,30,30,30	40	0	Summer Island
145	348100,334700	355700,352600	-1	551,787,552,528	12,14,13,10	100,100,100,100	30,30,30,30	40	0	Summer Island
146	366900,332000	371700,336300	-1	551,787,552,528	2,2,2,2	100,100,100,100	30,30,30,30	40	0	Summer Island
147	358900,332400	366500,340000	-1	551,787,552,528	12,12,12,12	100,100,100,100	30,30,30,30	40	0	Summer Island
148	358000,274800	380800,291400	-1	528,787,552	15,14,12	100,100,100	30,30,30	40	0	Summer Island
149	338700,325900	351900,343700	-1	217,220	3,3	100,100	20,20	40	0	Summer Island
150	354700,323000	367400,336800	-1	787,551	13,13	100,100	30,30	40	0	Summer Island
151	354100,340300	357700,350100	-1	787,551	7,7	100,100	30,30	40	0	Summer Island
152	348400,346400	352400,355800	-1	787,551	8,8	100,100	30,30	40	0	Summer Island
153	334200,344700	339500,356500	-1	787,551	2,2	100,100	30,30	40	0	Summer Island
154	341500,334700	347400,349000	-1	787,551	16,16	100,100	30,30	40	0	Summer Island
155	340700,354200	347400,360200	-1	787,551	8,8	100,100	30,30	40	0	Summer Island
156	297000,274700	303600,279500	-1	218,215	1,1	100,100	20,20	40	0	Autumn Island
157	299100,289600	305300,294400	-1	218,215	1,2	100,100	20,20	40	0	Autumn Island
158	282900,282400	296800,299800	-1	185,75,71,734	2,2,3,1	100,100,100,100	10,10,10,30	40	0	Autumn Island
159	264100,312500	291400,332600	-1	218,215	5,3	100,100	20,20	40	0	Autumn Island
160	283900,337600	290700,342000	-1	218,215	2,1	100,100	20,20	40	0	Autumn Island
161	216000,338400	231700,341800	-1	218,215	2,1	100,100	20,20	40	0	Autumn Island
162	268900,297600	278300,310700	-1	734,735	4,4	100,100	30,30	40	0	Autumn Island
163	256700,296100	263200,324600	-1	734,735	4,4	100,100	30,30	40	0	Autumn Island
164	281400,278800	283200,284200	-1	734,735,736	1,1,1	100,100,100	30,30,30	40	0	Autumn Island
165	301100,295100	302700,299200	-1	734,735,736	2,1,2	100,100,100	30,30,30	40	0	Autumn Island
166	289000,286000	296300,303500	-1	734,735,736	10,11,8	100,100,100	30,30,30	40	0	Autumn Island
167	302900,276300	306000,280600	-1	734,735,736	2,2,2	100,100,100	30,30,30	40	0	Autumn Island
168	232200,308600	255600,314500	-1	734,735,736	9,9,9	100,100,100	30,30,30	40	0	Autumn Island
169	248500,315800	253900,323900	-1	734,735,736	6,5,5	100,100,100	30,30,30	40	0	Autumn Island
170	232400,315800	237200,323200	-1	735,736	7,7	100,100	30,30	40	0	Autumn Island
171	240100,322200	246400,330400	-1	735,736	10,10	100,100	30,30	40	0	Autumn Island
172	229000,324100	236200,334800	-1	735,736	15,15	100,100	30,30	40	0	Autumn Island
173	112600,30000	112600,32600	-1	842	1	100	1800	40	0	Mini Boss 
174	86000,35400	91600,29200	-1	844	1	100	1800	40	0	Mini Boss 
175	63000,34600	67300,28300	-1	845	1	100	1800	40	0	Mini Boss 
176	221300,43500	221300,43500	-1	852	1	100	1800	40	0	Mini Boss 
177	358400,375800	358400,375800	-1	855	1	100	1800	40	0	Mini Boss 
