[06-13 17:14:57]85,Штурвал Моряка, Character ID:1
[06-13 17:14:58]2079,Прическа 2, Character ID:1
[06-13 17:14:58]2080,Прическа 2, Character ID:1
[06-13 17:14:58]2081,Прическа 2, Character ID:1
[06-13 17:14:58]2082,Прическа 2, Character ID:1
[06-13 17:14:58]2083,Прическа 2, Character ID:1
[06-13 17:14:58]2084,Прическа 3, Character ID:1
[06-13 17:14:58]2085,Прическа 3, Character ID:1
[06-13 17:14:58]2086,Прическа 3, Character ID:1
[06-13 17:14:58]2087,Прическа 3, Character ID:1
[06-13 17:14:58]2088,Прическа 3, Character ID:1
[06-13 17:14:58]2089,Прическа 3, Character ID:1
[06-13 17:14:58]2090,Прическа 4, Character ID:1
[06-13 17:14:58]2091,Прическа 4, Character ID:1
[06-13 17:14:58]2092,Прическа 4, Character ID:1
[06-13 17:14:58]2093,Прическа 4, Character ID:1
[06-13 17:14:58]2094,Прическа 4, Character ID:1
[06-13 17:14:58]2095,Прическа 4, Character ID:1
[06-13 17:14:58]2096,Прическа 4, Character ID:1
[06-13 17:14:58]2097,Прическа 5, Character ID:1
[06-13 17:14:58]2098,Прическа 5, Character ID:1
[06-13 17:14:58]2099,Прическа 5, Character ID:1
[06-13 17:14:58]2100,Прическа 5, Character ID:1
[06-13 17:14:58]2101,Прическа 6, Character ID:1
[06-13 17:14:58]2102,Прическа 6, Character ID:1
[06-13 17:14:58]2103,Прическа 6, Character ID:1
[06-13 17:14:58]2104,Прическа 6, Character ID:1
[06-13 17:14:58]2105,Прическа 6, Character ID:1
[06-13 17:14:58]2106,Прическа 6, Character ID:1
[06-13 17:14:58]2107,Прическа 6, Character ID:1
[06-13 17:14:58]2108,Прическа 7, Character ID:1
[06-13 17:14:58]2109,Прическа 7, Character ID:1
[06-13 17:14:58]2110,Прическа 7, Character ID:1
[06-13 17:14:58]2111,Прическа 7, Character ID:1
[06-13 17:14:58]2112,Прическа 7, Character ID:1
[06-13 17:14:58]2113,Прическа 7, Character ID:1
[06-13 17:14:58]2114,Прическа 8, Character ID:1
[06-13 17:14:58]2115,Прическа 8, Character ID:1
[06-13 17:14:58]2116,Прическа 8, Character ID:1
[06-13 17:14:58]2117,Прическа 8, Character ID:1
[06-13 17:14:58]2118,Прическа 8, Character ID:1
[06-13 17:14:58]2119,Прическа 8, Character ID:1
[06-13 17:14:58]2120,Прическа 8, Character ID:1
[06-13 17:14:58]2121,Неудачная прическа Карциз 1, Character ID:1
[06-13 17:14:58]2122,Мужская 2 короткая прическа, Character ID:1
[06-13 17:14:58]2123,Неудачная прическа Карциз 2, Character ID:1
[06-13 17:14:58]2124,Прическа 1, Character ID:1
[06-13 17:14:58]2125,Прическа 2, Character ID:1
[06-13 17:14:58]2126,Прическа 3, Character ID:1
[06-13 17:14:58]2127,Прическа 4, Character ID:1
[06-13 17:14:58]2128,Прическа 5, Character ID:1
[06-13 17:14:58]2129,Прическа 6, Character ID:1
[06-13 17:14:58]2130,Прическа 7, Character ID:1
[06-13 17:14:58]2131,Прическа 8, Character ID:1
[06-13 17:14:58]2132,Порученец, Character ID:1
[06-13 17:14:58]2133,Прическа 1, Character ID:1
[06-13 17:14:58]2134,Прическа 1, Character ID:1
[06-13 17:14:58]2135,Прическа 1, Character ID:1
[06-13 17:14:58]2136,Прическа 1, Character ID:1
[06-13 17:14:58]2137,Прическа 1, Character ID:1
[06-13 17:14:58]2138,Прическа 1, Character ID:1
[06-13 17:14:58]2139,Прическа 1, Character ID:1
[06-13 17:14:58]2140,Прическа 2, Character ID:1
[06-13 17:14:58]2141,Прическа 2, Character ID:1
[06-13 17:14:58]2142,Прическа 2, Character ID:1
[06-13 17:14:58]2143,Прическа 2, Character ID:1
[06-13 17:14:58]2144,Прическа 2, Character ID:1
[06-13 17:14:58]2145,Прическа 2, Character ID:1
[06-13 17:14:58]2146,Прическа 3, Character ID:1
[06-13 17:14:58]2147,Прическа 3, Character ID:1
[06-13 17:14:58]2148,Прическа 3, Character ID:1
[06-13 17:14:58]2149,Прическа 3, Character ID:1
[06-13 17:14:58]2150,Прическа 3, Character ID:1
[06-13 17:14:58]2151,Прическа 3, Character ID:1
[06-13 17:14:58]2152,Прическа 4, Character ID:1
[06-13 17:14:58]2153,Прическа 4, Character ID:1
[06-13 17:14:58]2154,Прическа 4, Character ID:1
[06-13 17:14:58]2155,Прическа 4, Character ID:1
[06-13 17:14:58]2156,Прическа 4, Character ID:1
[06-13 17:14:58]2157,Прическа 4, Character ID:1
[06-13 17:14:58]2158,Прическа 5, Character ID:1
[06-13 17:14:58]2159,Прическа 5, Character ID:1
[06-13 17:14:58]2160,Прическа 5, Character ID:1
[06-13 17:14:58]2161,Прическа 5, Character ID:1
[06-13 17:14:58]2162,Прическа 5, Character ID:1
[06-13 17:14:59]2163,Прическа 5, Character ID:1
[06-13 17:14:59]2164,Прическа 6, Character ID:1
[06-13 17:14:59]2165,Прическа 6, Character ID:1
[06-13 17:14:59]2166,Прическа 6, Character ID:1
[06-13 17:14:59]2167,Прическа 6, Character ID:1
[06-13 17:14:59]2168,Прическа 6, Character ID:1
[06-13 17:14:59]2169,Прическа 6, Character ID:1
[06-13 17:14:59]2170,Прическа 7, Character ID:1
[06-13 17:14:59]2171,Прическа 7, Character ID:1
[06-13 17:14:59]2172,Прическа 7, Character ID:1
[06-13 17:14:59]2173,Прическа 7, Character ID:1
[06-13 17:14:59]2174,Прическа 7, Character ID:1
[06-13 17:14:59]2175,Прическа 7, Character ID:1
[06-13 17:14:59]2176,Прическа 8, Character ID:1
[06-13 17:14:59]2177,Прическа 8, Character ID:1
[06-13 17:14:59]2178,Прическа 8, Character ID:1
[06-13 17:14:59]2179,Прическа 8, Character ID:1
[06-13 17:14:59]2180,Прическа 8, Character ID:1
[06-13 17:14:59]2181,Прическа 8, Character ID:1
[06-13 17:14:59]2182,Неудавшаяся прическа Филлис 1, Character ID:1
[06-13 17:14:59]2183,Неудачные прически Филлис 2, Character ID:1
[06-13 17:14:59]2184,Девичья 1 короткая прическа, Character ID:1
[06-13 17:14:59]2185,Девичья 1 прическа 01, Character ID:1
[06-13 17:14:59]2186,Девичья 2 прическа 00, Character ID:1
[06-13 17:14:59]2275,Модная прическа Ланса 1, Character ID:4
[06-13 17:14:59]2276,Модная прическа Ланса 2, Character ID:4
[06-13 17:14:59]2277,Модная прическа Ланса 3, Character ID:4
[06-13 17:14:59]2278,Модная прическа Ланса 4, Character ID:4
[06-13 17:14:59]2279,Модная прическа Карциз 1, Character ID:4
[06-13 17:14:59]2280,Модная прическа Карциз 2, Character ID:4
[06-13 17:14:59]2281,Модная прическа Карциз 3, Character ID:4
[06-13 17:14:59]2282,Модная прическа Карциз 4, Character ID:4
[06-13 17:14:59]2283,Модная прическа Филлис 1, Character ID:4
[06-13 17:14:59]2284,Модная прическа Филлис 2, Character ID:4
[06-13 17:14:59]2285,Модная прическа Филлис 3, Character ID:4
[06-13 17:14:59]2286,Модная прическа Филлис 4, Character ID:4
[06-13 17:14:59]2434,Стрела 02, Character ID:1
[06-13 17:14:59]2448,Порох 02, Character ID:1
[06-13 17:14:59]2499,Левая гипсовая перчатка, Character ID:1
[06-13 17:14:59]2500,Левая перчатка драчуна, Character ID:1
[06-13 17:14:59]2501,Левая перчатка мастера, Character ID:1
[06-13 17:14:59]2502,Левое зубчатое лезвие, Character ID:1
[06-13 17:14:59]2503,Левый астральный клинок, Character ID:1
[06-13 17:14:59]2504,Левая тигровая перчатка, Character ID:1
[06-13 17:14:59]2505,Левая рука смерти, Character ID:1
[06-13 17:14:59]2530,Огненный камень Гефеста, Character ID:2
[06-13 17:14:59]2531,Каменный коготь Гефеста, Character ID:2
[06-13 17:14:59]2532,Каменная рука Гефеста, Character ID:2
[06-13 17:14:59]2533,Огненный камень Гермеса, Character ID:1
[06-13 17:14:59]2534,Каменная рука Гермеса, Character ID:1
[06-13 17:14:59]2535,Каменная рука Гермеса, Character ID:1
[06-13 17:14:59]2536,Огненный камень Аполлона, Character ID:1
[06-13 17:14:59]2537,Каменная рука  Аполлона, Character ID:1
[06-13 17:14:59]2538,Каменная рука  Аполлона, Character ID:1
[06-13 17:14:59]2539,Огненный камень Посейдона, Character ID:1
[06-13 17:14:59]2540,Каменная рука Посейдона, Character ID:1
[06-13 17:14:59]2541,Каменная рука Посейдона, Character ID:1
[06-13 17:14:59]2542,Огненный камень Гестии, Character ID:3
[06-13 17:14:59]2543,Каменная рука Гестии, Character ID:3
[06-13 17:14:59]2544,Каменная рука Гестии, Character ID:3
[06-13 17:14:59]2545,Огненный камень Афины, Character ID:3
[06-13 17:14:59]2546,Каменный коготь Афины, Character ID:3
[06-13 17:14:59]2547,Каменная рука Афины, Character ID:3
[06-13 17:14:59]2548,Коронный камень Артемиды, Character ID:4
[06-13 17:14:59]3061,Медвежьи башмаки, Character ID:4
[06-13 17:14:59]3285,Калькулятор, Character ID:1
[06-13 17:14:59]3287,Портативный компьютер, Character ID:1
[06-13 17:15:00]5071,Большой меч кадавра, Character ID:1
[06-13 17:15:00]5074,Кинжал мертвеца, Character ID:2
[06-13 17:15:00]5081,Камзол кошмара, Character ID:1
[06-13 17:15:00]5082,Перчатки кошмара, Character ID:1
[06-13 17:15:00]5083,Сапоги кошмара, Character ID:1
[06-13 17:15:00]5209,Могучий топор Августа 1, Character ID:1
[06-13 17:15:00]5212,Кинжал Августа 1, Character ID:2
[06-13 17:15:00]5214,Могучий топор Августа 2, Character ID:1
[06-13 17:15:00]5217,Кинжал Августа 2, Character ID:2
[06-13 17:15:00]5635,Смертельное одеяние, Character ID:2
[06-13 17:15:00]5636,Перчатки смертельного одеяния, Character ID:2
[06-13 17:15:00]5637,Ботинки смертельного одеяния, Character ID:2
[06-13 17:15:00]5638,Меч смертного одеяния, Character ID:2
[06-13 17:15:00]5639,Молот смертного одеяния, Character ID:1
[06-13 17:15:01]5862,Искупление Зевса, Character ID:2
[06-13 17:15:01]5863,Искупление Гаргоны, Character ID:2
[06-13 17:15:01]5864,Искупление Афины, Character ID:2
[06-13 17:15:01]5865,Искупление Аида, Character ID:2
[06-13 17:15:01]7626,Огненный камень Баунти, Character ID:1
[06-13 17:15:01]7627,Каменная рука Баунти, Character ID:1
[06-13 17:15:01]7628,Каменная нога Баунти, Character ID:1
[06-13 17:15:01]7629,Коронационный камень Баунти, Character ID:4
