[06-13 17:15:06]AddBoatLevel: count, level, money, exp 1  2  2  4  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[06-13 17:15:06]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
