//Порядковый номер	Название причёски	Цвет	Необходимый предмет №0	Необходимый предмет №1	Необходимый предмет №2	Необходимый предмет №3	Необходимое золото	Модель причёски которая получится	Модель причёски при провале	Доступная цветовой спектр №1	Доступная цветовой спектр №2	Доступная цветовой спектр №3	Доступная цветовой спектр №4	Номер причёски в таблице	Название модели
36	Прическа 5	Пурпурный	1807,1	1808,1	1803,5	1804,1	100000	2039	1999	1	0	0	0	2039	0000390001
37	Прическа 6	Черный	1807,1	1808,1	4607,5	1805,1	100000	2005	1999	1	0	0	0	2005	0000050001
38	Прическа 6	Красный	1807,1	1808,1	1797,5	1805,1	100000	2040	1999	1	0	0	0	2040	0000400001
39	Прическа 6	Оранжевый	1807,1	1808,1	1798,5	1805,1	100000	2041	1999	1	0	0	0	2041	0000410001
40	Прическа 6	Желтый	1807,1	1808,1	1799,5	1805,1	100000	2042	1999	1	0	0	0	2042	0000420001
41	Прическа 6	Голубой	1807,1	1808,1	1800,5	1805,1	100000	2043	1999	1	0	0	0	2043	0000430001
42	Прическа 6	Зеленый	1807,1	1808,1	1801,5	1805,1	100000	2044	1999	1	0	0	0	2044	0000440001
43	Прическа 6	Синий	1807,1	1808,1	1802,5	1805,1	100000	2045	1999	1	0	0	0	2045	0000450001
44	Прическа 6	Пурпурный	1807,1	1808,1	1803,5	1805,1	100000	2046	1999	1	0	0	0	2046	0000460001
45	Прическа 7	Черный	1807,1	1808,1	4607,5	1806,1	100000	2006	1999	1	0	0	0	2006	0000060001
46	Прическа 7	Красный	1807,1	1808,1	1797,5	1806,1	100000	2047	1999	1	0	0	0	2047	0000470001
47	Прическа 7	Оранжевый	1807,1	1808,1	1798,5	1806,1	100000	2048	1999	1	0	0	0	2048	0000480001
48	Прическа 7	Желтый	1807,1	1808,1	1799,5	1806,1	100000	2049	1999	1	0	0	0	2049	0000490001
49	Прическа 7	Голубой	1807,1	1808,1	1800,5	1806,1	100000	2050	1999	1	0	0	0	2050	0000500001
50	Прическа 7	Зеленый	1807,1	1808,1	1801,5	1806,1	100000	2051	1999	1	0	0	0	2051	0000510001
51	Прическа 7	Синий	1807,1	1808,1	1802,5	1806,1	100000	2052	1999	1	0	0	0	2052	0000520001
52	Прическа 7	Пурпурный	1807,1	1808,1	1803,5	1806,1	100000	2053	1999	1	0	0	0	2053	0000530001
53	Прическа 8	Красный	1807,1	1808,1	1797,5	1804,1	100000	2054	1999	1	0	0	0	2054	0000540001
54	Прическа 8	Оранжевый	1807,1	1808,1	1798,5	1804,1	100000	2055	1999	1	0	0	0	2055	0000550001
55	Прическа 8	Желтый	1807,1	1808,1	1799,5	1804,1	100000	2056	1999	1	0	0	0	2056	0000560001
56	Прическа 8	Голубой	1807,1	1808,1	1800,5	1804,1	100000	2057	1999	1	0	0	0	2057	0000570001
57	Прическа 8	Зеленый	1807,1	1808,1	1801,5	1804,1	100000	2058	1999	1	0	0	0	2058	0000580001
58	Прическа 8	Синий	1807,1	1808,1	1802,5	1804,1	100000	2059	1999	1	0	0	0	2059	0000590001
59	Прическа 8	Пурпурный	1807,1	1808,1	1803,5	1804,1	100000	2007	1999	1	0	0	0	2007	0000070001
60	Прическа 1	Черный	1807,1	1809,1	4607,5	1805,1	100000	2062	2121	0	1	0	0	2062	0001000001
61	Прическа 1	Красный	1807,1	1809,1	1797,5	1805,1	100000	2071	2121	0	1	0	0	2071	0001090001
62	Прическа 1	Оранжевый	1807,1	1809,1	1798,5	1805,1	100000	2072	2121	0	1	0	0	2072	0001100001
63	Прическа 1	Желтый	1807,1	1809,1	1799,5	1805,1	100000	2073	2121	0	1	0	0	2073	0001110001
64	Прическа 1	Голубой	1807,1	1809,1	1800,5	1805,1	100000	2074	2121	0	1	0	0	2074	0001120001
65	Прическа 1	Зеленый	1807,1	1809,1	1801,5	1805,1	100000	2075	2121	0	1	0	0	2075	0001130001
66	Прическа 1	Синий	1807,1	1809,1	1802,5	1805,1	100000	2076	2121	0	1	0	0	2076	0001140001
67	Прическа 1	Пурпурный	1807,1	1809,1	1803,5	1805,1	100000	2077	2121	0	1	0	0	2077	0001150001
68	Прическа 2	Красный	1807,1	1809,1	1797,5	1806,1	100000	2078	2121	0	1	0	0	2078	0001160001
69	Прическа 2	Оранжевый	1807,1	1809,1	1798,5	1806,1	100000	2079	2121	0	1	0	0	2079	0001170001
70	Прическа 2	Желтый	1807,1	1809,1	1799,5	1806,1	100000	2063	2121	0	1	0	0	2063	0001010001
71	Прическа 2	Голубой	1807,1	1809,1	1800,5	1806,1	100000	2080	2121	0	1	0	0	2080	0001180001
72	Прическа 2	Зеленый	1807,1	1809,1	1801,5	1806,1	100000	2081	2121	0	1	0	0	2081	0001190001
73	Прическа 2	Синий	1807,1	1809,1	1802,5	1806,1	100000	2082	2121	0	1	0	0	2082	0001200001
74	Прическа 2	Пурпурный	1807,1	1809,1	1803,5	1806,1	100000	2083	2121	0	1	0	0	2083	0001210001
75	Прическа 3	Красный	1807,1	1809,1	1797,5	1804,1	100000	2084	2121	0	1	0	0	2084	0001220001
76	Прическа 3	Оранжевый	1807,1	1809,1	1798,5	1804,1	100000	2085	2121	0	1	0	0	2085	0001230001
77	Прическа 3	Желтый	1807,1	1809,1	1799,5	1804,1	100000	2064	2121	0	1	0	0	2064	0001020001
78	Прическа 3	Голубой	1807,1	1809,1	1800,5	1804,1	100000	2086	2121	0	1	0	0	2086	0001240001
79	Прическа 3	Зеленый	1807,1	1809,1	1801,5	1804,1	100000	2087	2121	0	1	0	0	2087	0001250001
80	Прическа 3	Синий	1807,1	1809,1	1802,5	1804,1	100000	2088	2121	0	1	0	0	2088	0001260001
81	Прическа 3	Пурпурный	1807,1	1809,1	1803,5	1804,1	100000	2089	2121	0	1	0	0	2089	0001270001
82	Прическа 4	Черный	1807,1	1809,1	4607,5	1805,1	100000	2065	2121	0	1	0	0	2065	0001030001
83	Прическа 4	Красный	1807,1	1809,1	1797,5	1805,1	100000	2090	2121	0	1	0	0	2090	0001280001
84	Прическа 4	Оранжевый	1807,1	1809,1	1798,5	1805,1	100000	2091	2121	0	1	0	0	2091	0001290001
85	Прическа 4	Желтый	1807,1	1809,1	1799,5	1805,1	100000	2092	2121	0	1	0	0	2092	0001300001
86	Прическа 4	Голубой	1807,1	1809,1	1800,5	1805,1	100000	2093	2121	0	1	0	0	2093	0001310001
87	Прическа 4	Зеленый	1807,1	1809,1	1801,5	1805,1	100000	2094	2121	0	1	0	0	2094	0001320001
88	Прическа 4	Синий	1807,1	1809,1	1802,5	1805,1	100000	2095	2121	0	1	0	0	2095	0001330001
89	Прическа 4	Пурпурный	1807,1	1809,1	1803,5	1805,1	100000	2096	2121	0	1	0	0	2096	0001340001
90	Прическа 5	Нет	1807,1	1809,1	4607,5	1804,1	100000	2066	2121	0	1	0	0	2066	0001040001
91	Прическа 5	Черный	1807,1	1809,1	4607,5	1806,1	100000	2097	2121	0	1	0	0	2097	0001350001
92	Прическа 5	Красный	1807,1	1809,1	1797,5	1806,1	100000	2098	2121	0	1	0	0	2098	0001360001
93	Прическа 5	Синий	1807,1	1809,1	1802,5	1806,1	100000	2099	2121	0	1	0	0	2099	0001370001
94	Прическа 5	Голубой	1807,1	1809,1	1800,5	1806,1	100000	2100	2121	0	1	0	0	2100	0001380001
95	Прическа 6	Черный	1807,1	1809,1	4607,5	1804,1	100000	2067	2121	0	1	0	0	2067	0001050001
96	Прическа 6	Красный	1807,1	1809,1	1797,5	1804,1	100000	2101	2121	0	1	0	0	2101	0001390001
97	Прическа 6	Оранжевый	1807,1	1809,1	1798,5	1804,1	100000	2102	2121	0	1	0	0	2102	0001400001
98	Прическа 6	Желтый	1807,1	1809,1	1799,5	1804,1	100000	2103	2121	0	1	0	0	2103	0001410001
99	Прическа 6	Голубой	1807,1	1809,1	1800,5	1804,1	100000	2104	2121	0	1	0	0	2104	0001420001
100	Прическа 6	Зеленый	1807,1	1809,1	1801,5	1804,1	100000	2105	2121	0	1	0	0	2105	0001430001
101	Прическа 6	Синий	1807,1	1809,1	1802,5	1804,1	100000	2106	2121	0	1	0	0	2106	0001440001
102	Прическа 6	Пурпурный	1807,1	1809,1	1803,5	1804,1	100000	2107	2121	0	1	0	0	2107	0001450001
103	Прическа 7	Красный	1807,1	1809,1	1797,5	1805,1	100000	2108	2121	0	1	0	0	2108	0001460001
104	Прическа 7	Оранжевый	1807,1	1809,1	1798,5	1805,1	100000	2109	2121	0	1	0	0	2109	0001470001
105	Прическа 7	Желтый	1807,1	1809,1	1799,5	1805,1	100000	2110	2121	0	1	0	0	2110	0001480001
106	Прическа 7	Голубой	1807,1	1809,1	1800,5	1805,1	100000	2111	2121	0	1	0	0	2111	0001490001
107	Прическа 7	Зеленый	1807,1	1809,1	1801,5	1805,1	100000	2112	2121	0	1	0	0	2112	0001500001
108	Прическа 7	Синий	1807,1	1809,1	1802,5	1805,1	100000	2113	2121	0	1	0	0	2113	0001510001
109	Прическа 7	Пурпурный	1807,1	1809,1	1803,5	1805,1	100000	2068	2121	0	1	0	0	2068	0001060001
110	Прическа 8	Белый	1807,1	1809,1	4610,5	1806,1	100000	2069	2121	0	1	0	0	2069	0001070001
111	Прическа 8	Красный	1807,1	1809,1	1797,5	1806,1	100000	2114	2121	0	1	0	0	2114	0001520001
112	Прическа 8	Оранжевый	1807,1	1809,1	1798,5	1806,1	100000	2115	2121	0	1	0	0	2115	0001530001
113	Прическа 8	Желтый	1807,1	1809,1	1799,5	1806,1	100000	2116	2121	0	1	0	0	2116	0001540001
114	Прическа 8	Голубой	1807,1	1809,1	1800,5	1806,1	100000	2117	2121	0	1	0	0	2117	0001550001
115	Прическа 8	Зеленый	1807,1	1809,1	1801,5	1806,1	100000	2118	2121	0	1	0	0	2118	0001560001
116	Прическа 8	Синий	1807,1	1809,1	1802,5	1806,1	100000	2119	2121	0	1	0	0	2119	0001570001
117	Прическа 8	Пурпурный	1807,1	1809,1	1803,5	1806,1	100000	2120	2121	0	1	0	0	2120	0001580001
118	Прическа 1	Коричневый	1807,1	1810,1	4609,5	1804,1	100000	2124	2182	0	0	1	0	2124	0002000001
119	Прическа 1	Красный	1807,1	1810,1	1797,5	1804,1	100000	2133	2182	0	0	1	0	2133	0002090001
120	Прическа 1	Оранжевый	1807,1	1810,1	1798,5	1804,1	100000	2134	2182	0	0	1	0	2134	0002100001
121	Прическа 1	Желтый	1807,1	1810,1	1799,5	1804,1	100000	2135	2182	0	0	1	0	2135	0002110001
122	Прическа 1	Голубой	1807,1	1810,1	1800,5	1804,1	100000	2136	2182	0	0	1	0	2136	0002120001
123	Прическа 1	Зеленый	1807,1	1810,1	1801,5	1804,1	100000	2137	2182	0	0	1	0	2137	0002130001
124	Прическа 1	Синий	1807,1	1810,1	1802,5	1804,1	100000	2138	2182	0	0	1	0	2138	0002140001
125	Прическа 1	Пурпурный	1807,1	1810,1	1803,5	1804,1	100000	2139	2182	0	0	1	0	2139	0002150001
126	Прическа 2	Красный	1807,1	1810,1	1797,5	1805,1	100000	2140	2182	0	0	1	0	2140	0002160001
127	Прическа 2	Оранжевый	1807,1	1810,1	1798,5	1805,1	100000	2141	2182	0	0	1	0	2141	0002170001
128	Прическа 2	Желтый	1807,1	1810,1	1799,5	1805,1	100000	2125	2182	0	0	1	0	2125	0002010001
129	Прическа 2	Голубой	1807,1	1810,1	1800,5	1805,1	100000	2142	2182	0	0	1	0	2142	0002180001
130	Прическа 2	Зеленый	1807,1	1810,1	1801,5	1805,1	100000	2143	2182	0	0	1	0	2143	0002190001
131	Прическа 2	Синий	1807,1	1810,1	1802,5	1805,1	100000	2144	2182	0	0	1	0	2144	0002200001
132	Прическа 2	Пурпурный	1807,1	1810,1	1803,5	1805,1	100000	2145	2182	0	0	1	0	2145	0002210001
133	Прическа 3	Красный	1807,1	1810,1	1797,5	1806,1	100000	2146	2182	0	0	1	0	2146	0002220001
134	Прическа 3	Оранжевый	1807,1	1810,1	1798,5	1806,1	100000	2147	2182	0	0	1	0	2147	0002230001
135	Прическа 3	Желтый	1807,1	1810,1	1799,5	1806,1	100000	2148	2182	0	0	1	0	2148	0002240001
136	Прическа 3	Голубой	1807,1	1810,1	1800,5	1806,1	100000	2149	2182	0	0	1	0	2149	0002250001
137	Прическа 3	Зеленый	1807,1	1810,1	1801,5	1806,1	100000	2150	2182	0	0	1	0	2150	0002260001
138	Прическа 3	Синий	1807,1	1810,1	1802,5	1806,1	100000	2126	2182	0	0	1	0	2126	0002020001
139	Прическа 3	Пурпурный	1807,1	1810,1	1803,5	1806,1	100000	2151	2182	0	0	1	0	2151	0002270001
140	Прическа 4	Красный	1807,1	1810,1	1797,5	1804,1	100000	2127	2182	0	0	1	0	2127	0002030001
141	Прическа 4	Оранжевый	1807,1	1810,1	1798,5	1804,1	100000	2152	2182	0	0	1	0	2152	0002280001
142	Прическа 4	Желтый	1807,1	1810,1	1799,5	1804,1	100000	2153	2182	0	0	1	0	2153	0002290001
143	Прическа 4	Голубой	1807,1	1810,1	1800,5	1804,1	100000	2154	2182	0	0	1	0	2154	0002300001
144	Прическа 4	Зеленый	1807,1	1810,1	1801,5	1804,1	100000	2155	2182	0	0	1	0	2155	0002310001
145	Прическа 4	Синий	1807,1	1810,1	1802,5	1804,1	100000	2156	2182	0	0	1	0	2156	0002320001
146	Прическа 4	Пурпурный	1807,1	1810,1	1803,5	1804,1	100000	2157	2182	0	0	1	0	2157	0002330001
147	Прическа 5	Красный	1807,1	1810,1	1797,5	1805,1	100000	2158	2182	0	0	1	0	2158	0002340001
148	Прическа 5	Оранжевый	1807,1	1810,1	1798,5	1805,1	100000	2159	2182	0	0	1	0	2159	0002350001
149	Прическа 5	Желтый	1807,1	1810,1	1799,5	1805,1	100000	2160	2182	0	0	1	0	2160	0002360001
150	Прическа 5	Голубой	1807,1	1810,1	1800,5	1805,1	100000	2161	2182	0	0	1	0	2161	0002370001
151	Прическа 5	Зеленый	1807,1	1810,1	1801,5	1805,1	100000	2162	2182	0	0	1	0	2162	0002380001
152	Прическа 5	Синий	1807,1	1810,1	1802,5	1805,1	100000	2128	2182	0	0	1	0	2128	0002040001
153	Прическа 5	Пурпурный	1807,1	1810,1	1803,5	1805,1	100000	2163	2182	0	0	1	0	2163	0002390001
154	Прическа 6	Красный	1807,1	1810,1	1797,5	1806,1	100000	2164	2182	0	0	1	0	2164	0002400001
155	Прическа 6	Оранжевый	1807,1	1810,1	1798,5	1806,1	100000	2165	2182	0	0	1	0	2165	0002410001
156	Прическа 6	Желтый	1807,1	1810,1	1799,5	1806,1	100000	2166	2182	0	0	1	0	2166	0002420001
157	Прическа 6	Голубой	1807,1	1810,1	1800,5	1806,1	100000	2167	2182	0	0	1	0	2167	0002430001
158	Прическа 6	Зеленый	1807,1	1810,1	1801,5	1806,1	100000	2168	2182	0	0	1	0	2168	0002440001
159	Прическа 6	Синий	1807,1	1810,1	1802,5	1806,1	100000	2169	2182	0	0	1	0	2169	0002450001
160	Прическа 6	Пурпурный	1807,1	1810,1	1803,5	1806,1	100000	2129	2182	0	0	1	0	2129	0002050001
161	Прическа 7	Красный	1807,1	1810,1	1797,5	1804,1	100000	2170	2182	0	0	1	0	2170	0002460001
162	Прическа 7	Оранжевый	1807,1	1810,1	1798,5	1804,1	100000	2171	2182	0	0	1	0	2171	0002470001
163	Прическа 7	Желтый	1807,1	1810,1	1799,5	1804,1	100000	2172	2182	0	0	1	0	2172	0002480001
164	Прическа 7	Голубой	1807,1	1810,1	1800,5	1804,1	100000	2173	2182	0	0	1	0	2173	0002490001
165	Прическа 7	Зеленый	1807,1	1810,1	1801,5	1804,1	100000	2174	2182	0	0	1	0	2174	0002500001
166	Прическа 7	Синий	1807,1	1810,1	1802,5	1804,1	100000	2130	2182	0	0	1	0	2130	0002060001
167	Прическа 7	Пурпурный	1807,1	1810,1	1803,5	1804,1	100000	2175	2182	0	0	1	0	2175	0002510001
168	Прическа 8	Красный	1807,1	1810,1	1797,5	1805,1	100000	2176	2182	0	0	1	0	2176	0002520001
169	Прическа 8	Оранжевый	1807,1	1810,1	1798,5	1805,1	100000	2131	2182	0	0	1	0	2131	0002070001
170	Прическа 8	Желтый	1807,1	1810,1	1799,5	1805,1	100000	2177	2182	0	0	1	0	2177	0002530001
171	Прическа 8	Голубой	1807,1	1810,1	1800,5	1805,1	100000	2178	2182	0	0	1	0	2178	0002540001
172	Прическа 8	Зеленый	1807,1	1810,1	1801,5	1805,1	100000	2179	2182	0	0	1	0	2179	0002550001
173	Прическа 8	Синий	1807,1	1810,1	1802,5	1805,1	100000	2180	2182	0	0	1	0	2180	0002560001
174	Прическа 8	Пурпурный	1807,1	1810,1	1803,5	1805,1	100000	2181	2182	0	0	1	0	2181	0002570001
175	Прическа 1	Красный	1807,1	1811,1	1797,5	1806,1	100000	2247	2271	0	0	0	1	2247	0003880001
176	Прическа 1	Оранжевый	1807,1	1811,1	1798,5	1806,1	100000	2291	2271	0	0	0	1	2291	0003620001
177	Прическа 1	Желтый	1807,1	1811,1	1799,5	1806,1	100000	2248	2271	0	0	0	1	2248	0003890001
178	Прическа 1	Голубой	1807,1	1811,1	1800,5	1806,1	100000	2249	2271	0	0	0	1	2249	0003900001
179	Прическа 1	Зеленый	1807,1	1811,1	1801,5	1806,1	100000	2250	2271	0	0	0	1	2250	0003910001
180	Прическа 1	Синий	1807,1	1811,1	1802,5	1806,1	100000	2251	2271	0	0	0	1	2251	0003660001
181	Прическа 1	Пурпурный	1807,1	1811,1	1803,5	1806,1	100000	2252	2271	0	0	0	1	2252	0003670001
182	Прическа 2	Красный	1807,1	1811,1	1797,5	1804,1	100000	2253	2271	0	0	0	1	2253	0003680001
183	Прическа 2	Оранжевый	1807,1	1811,1	1798,5	1804,1	100000	2292	2271	0	0	0	1	2292	0003630001
184	Прическа 2	Желтый	1807,1	1811,1	1799,5	1804,1	100000	2254	2271	0	0	0	1	2254	0003690001
185	Прическа 2	Голубой	1807,1	1811,1	1800,5	1804,1	100000	2255	2271	0	0	0	1	2255	0003700001
186	Прическа 2	Зеленый	1807,1	1811,1	1801,5	1804,1	100000	2256	2271	0	0	0	1	2256	0003710001
187	Прическа 2	Синий	1807,1	1811,1	1802,5	1804,1	100000	2257	2271	0	0	0	1	2257	0003720001
188	Прическа 2	Пурпурный	1807,1	1811,1	1803,5	1804,1	100000	2258	2271	0	0	0	1	2258	0003730001
189	Прическа 3	Красный	1807,1	1811,1	1797,5	1805,1	100000	2259	2271	0	0	0	1	2259	0003740001
190	Прическа 3	Оранжевый	1807,1	1811,1	1798,5	1805,1	100000	2293	2271	0	0	0	1	2293	0003640001
191	Прическа 3	Желтый	1807,1	1811,1	1799,5	1805,1	100000	2260	2271	0	0	0	1	2260	0003750001
192	Прическа 3	Голубой	1807,1	1811,1	1800,5	1805,1	100000	2261	2271	0	0	0	1	2261	0003760001
193	Прическа 3	Зеленый	1807,1	1811,1	1801,5	1805,1	100000	2262	2271	0	0	0	1	2262	0003770001
194	Прическа 3	Синий	1807,1	1811,1	1802,5	1805,1	100000	2263	2271	0	0	0	1	2263	0003780001
195	Прическа 3	Пурпурный	1807,1	1811,1	1803,5	1805,1	100000	2264	2271	0	0	0	1	2264	0003790001
196	Прическа 4	Красный	1807,1	1811,1	1797,5	1806,1	100000	2265	2271	0	0	0	1	2265	0003800001
197	Прическа 4	Оранжевый	1807,1	1811,1	1798,5	1806,1	100000	2294	2271	0	0	0	1	2294	0003650001
198	Прическа 4	Желтый	1807,1	1811,1	1799,5	1806,1	100000	2266	2271	0	0	0	1	2266	0003810001
199	Прическа 4	Голубой	1807,1	1811,1	1800,5	1806,1	100000	2267	2271	0	0	0	1	2267	0003820001
200	Прическа 4	Зеленый	1807,1	1811,1	1801,5	1806,1	100000	2268	2271	0	0	0	1	2268	0003830001
201	Прическа 4	Синий	1807,1	1811,1	1802,5	1806,1	100000	2269	2271	0	0	0	1	2269	0003840001
202	Прическа 4	Пурпурный	1807,1	1811,1	1803,5	1806,1	100000	2270	2271	0	0	0	1	2270	0003850001
203	Модная прическа Ланса 1	Красный	1807,1	0931,1	1797,20	1806,10	100000	2276	1999	1	0	0	0	2276	0000630001
204	Модная прическа Ланса 2	Зеленый	1807,1	0931,1	1801,20	1805,10	100000	2278	1999	1	0	0	0	2278	0000650001
205	Модная прическа Карциз 1	Желтый	1807,1	0932,1	1799,20	1806,10	100000	2280	2121	0	1	0	0	2280	0003830001
206	Модная прическа Карциз 2	Черный	1807,1	0932,1	4607,20	1805,10	100000	2282	2121	0	1	0	0	2282	0003850001
207	Модная прическа Филлис 1	Пурпурный	1807,1	0933,1	1803,20	1806,10	100000	2284	2182	0	0	1	0	2284	0002600001
208	Модная прическа Филлис 2	Красный	1807,1	0933,1	1797,20	1805,10	100000	2286	2182	0	0	1	0	2286	0002620001
209	Модная прическа Ами 1	Желтый	1807,1	0934,1	1799,20	1804,10	100000	2287	2271	0	0	0	1	2287	0003920001
210	Модная прическа Ами 2	Желтый	1807,1	0934,1	1799,20	1805,10	100000	2288	2271	0	0	0	1	2288	0003930001
