//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
80	66900,108100	78300,111500	-1	1084,1085	15,15	100,100	18,18	40	0	¶¬ºþµº6
81	75300,115900	77300,122000	-1	1085,1086	3,3	100,100	18,18	40	0	¶¬ºþµº6A
82	77700,116000	107000,118100	-1	1086	20	100	18	40	0	¶¬ºþµº6B
83	81700,118400	111800,125300	-1	1086	45	100	18	40	0	¶¬ºþµº6C
84	78300,125500	106200,131600	-1	1086	45	100	18	40	0	¶¬ºþµº6D
85	74500,131900	95000,137200	-1	1085,1086	20,25	100,100	18,18	40	0	¶¬ºþµº6E
86	72900,137600	90900,141300	-1	1085,1086	20,15	100,100	18,18	40	0	¶¬ºþµº6F
87	6500,131300	45100,138800	-1	1082,1083,216,222	40,35,5,5	100,100,100,100	18,18,10,10	40	0	¶¬ºþµº7A
88	45600,131200	49500,135000	-1	1082,1083,216,222	5,5,1,1	100,100,100,100	18,18,10,10	40	0	¶¬ºþµº7B
89	23300,139100	42200,143700	-1	1082,1083,216,222	15,20,3,1	100,100,100,100	18,18,10,10	40	0	¶¬ºþµº7C
90	24100,143900	44500,148400	-1	1083,216,222	30,5,3	100,100,100	18,10,10	40	0	¶¬ºþµº7D
91	28100,148800	48600,153200	-1	1083,216,222	35,3,5	100,100,100	18,10,10	40	0	¶¬ºþµº7E
92	20000,159900	24600,161300	-1	1083,216,222	5,1,1	100,100,100	18,10,10	40	0	¶¬ºþµº8A
93	28000,153600	47800,159000	-1	1083,216,222	25,2,3	100,100,100	18,10,10	40	0	¶¬ºþµº8B
94	24600,159100	46300,166100	-1	1083,216,222	35,5,4	100,100,100	18,10,10	40	0	¶¬ºþµº8C
95	24900,166300	34100,168400	-1	1083,216,222	10,1,1	100,100,100	18,10,10	40	0	¶¬ºþµº8D
96	60100,141400	66900,146800	-1	1085	10	100	18	40	0	¶¬ºþµº9A
97	55300,147100	60600,150100	-1	1085	10	100	18	40	0	¶¬ºþµº9B
98	52100,150400	59700,154000	-1	1085	10	100	18	40	0	¶¬ºþµº9C
99	69600,141500	87000,144500	-1	1086	20	100	18	40	0	¶¬ºþµº10A
100	72000,144800	77400,150000	-1	1086	15	100	18	40	0	¶¬ºþµº10B
101	63300,153000	78900,153200	-1	1086	15	100	18	40	0	¶¬ºþµº10C
102	50400,154300	74100,157200	-1	1085,1086	15,15	100,100	18,18	40	0	¶¬ºþµº11A
103	48900,157500	71000,162000	-1	1085,1086	20,15	100,100	18,18	40	0	¶¬ºþµº11B
104	48100,162400	71700,164600	-1	1085,1086	10,15	100,100	18,18	40	0	¶¬ºþµº11C
105	46400,164700	63000,168500	-1	1085,1086	10,10	100,100	18,18	40	0	¶¬ºþµº11D
106	46500,168800	61300,172500	-1	1085,1086	10,10	100,100	18,18	40	0	¶¬ºþµº11E
107	45600,133200	45600,133200	-1	1099	1	100	1800	40	0	¶¬ºþµº
108	136800,36100	139800,40500	-1	1093	5	100	21	40	0	±ù·âµº1A
109	140100,33000	163700,38800	-1	1093	20	100	21	40	0	±ù·âµº1B 
110	144800,39100	160600,43800	-1	1093	18	100	21	40	0	±ù·âµº1C
111	135400,40900	138300,51000	-1	1093	5	100	21	40	0	±ù·âµº1D
112	138500,44000	159900,51000	-1	1093,1095	15,15	100,100	21,21	40	0	±ù·âµº1E
113	172000,36700	175900,43000	-1	1094	7	100	21	40	0	±ù·âµº2A
114	164100,13200	175000,46000	-1	1094	7	100	21	40	0	±ù·âµº2B
115	160000,46300	175100,51000	-1	1094	3	100	21	40	0	±ù·âµº2C
116	175200,44700	179900,50800	-1	1094,1095	4,4	100,100	21,21	40	0	±ù·âµº2D
117	136800,51000	183100,59800	-1	1093,1094,1095	22,22,22	100,100,100	21,21,21	40	0	±ù·âµº3A
118	183300,53500	195100,59600	-1	1094,1095	20,10	100,100	21,21	40	0	±ù·âµº3B
119	195200,47900	199100,56500	-1	1094	8	100	21	40	0	±ù·âµº3C
120	143200,59900	166300,65400	-1	1095	10	100	21	40	0	±ù·âµº3D
121	139300,67200	143100,73400	-1	1095	5	100	21	40	0	±ù·âµº3E
122	175300,59900	199100,62800	-1	1095,1096	8,8	100,100	21,21	40	0	±ù·âµº4A
123	182400,63000	195900,65400	-1	1095,1096	4,4	100,100	21,21	40	0	±ù·âµº4B
124	156000,65600	172600,74000	-1	1095,1096	17,17	100,100	21,21	40	0	±ù·âµº4C
125	172900,68700	184700,74100	-1	1096	28	100	21	40	0	±ù·âµº4D
126	184900,65600	195100,74200	-1	1096	28	100	21	40	0	±ù·âµº4E
127	195300,68800	200700,74200	-1	1096	13	100	21	40	0	±ù·âµº4F
128	159200,74300	213500,79800	-1	1097	40	100	21	40	0	±ù·âµº5A
129	166500,80000	209500,85500	-1	1097	40	100	21	40	0	±ù·âµº5B
130	165600,85500	207000,93200	-1	1097,1098	30,20	100,100	21,21	40	0	±ù·âµº5C
131	148900,94300	157200,98900	-1	1096	12	100	21	40	0	±ù·âµº6A
132	157700,93500	169600,99200	-1	1096	12	100	21	40	0	±ù·âµº6B
133	144000,99200	161500,103700	-1	1096,1098	8,5	100,100	21,21	40	0	±ù·âµº6C
134	143300,103900	152600,108600	-1	1096	6	100	21	40	0	±ù·âµº6D
135	146500,108800	154300,115000	-1	1096,1095	4,4	100,100	21,21	40	0	±ù·âµº6E
136	178400,93700	205500,99000	-1	1098	35	100	21	40	0	±ù·âµº7A
137	161600,99300	205400,103700	-1	1096,1098	20,20	100,100	21,21	40	0	±ù·âµº7B
138	161600,103900	202200,106200	-1	1098	17	100	21	40	0	±ù·âµº7C
139	161600,106100	189400,109300	-1	1098	17	100	21	40	0	±ù·âµº7D
140	154400,109400	182300,115000	-1	1095,1096,1098	12,12,12	100,100,100	21,21,21	40	0	±ù·âµº7E
141	182400,109500	187000,111600	-1	1098	3	100	21	40	0	±ù·âµº7F
142	194400,106200	199100,110300	-1	1098	5	100	21	40	0	±ù·âµº8A
143	198400,111900	203100,119000	-1	1098	5	100	21	40	0	±ù·âµº8B
144	140900,115200	183000,121300	-1	1095	40	100	21	40	0	±ù·âµº9A
145	128000,120000	136600,122900	-1	1095	7	100	21	40	0	±ù·âµº9B
146	136800,121500	183100,122900	-1	1095	18	100	21	40	0	±ù·âµº9C
147	126400,123100	146200,130000	-1	1094	20	100	21	40	0	±ù·âµº10A
148	136000,130200	144700,132500	-1	1094	4	100	21	40	0	±ù·âµº10B
149	140000,132700	143900,135800	-1	1094	3	100	21	40	0	±ù·âµº10C
150	146400,123100	150300,130900	-1	1094	6	100	21	40	0	±ù·âµº10D
151	150500,123200	158900,131800	-1	1094	13	100	21	40	0	±ù·âµº10E
152	159300,123200	167100,130100	-1	1093,1094	8,8	100,100	21,21	40	0	±ù·âµº10F
153	167200,123200	171100,129300	-1	1093,1094	4,4	100,100	21,21	40	0	±ù·âµº11A
154	171300,123200	179000,131700	-1	1093	18	100	21	40	0	±ù·âµº11B
155	179200,123200	183100,128500	-1	1093	6	100	21	40	0	±ù·âµº11C
156	183200,119900	188700,128500	-1	1093	17	100	21	40	0	±ù·âµº11D
157	188800,120800	191100,126000	-1	1093	4	100	21	40	0	±ù·âµº11E
158	159500,68700	159500,68700	-1	1101	1	100	1800	40	0	±ù·âµº
