//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	Region ID
51	102600,287500	120900,297200	-1	76	63	100	30	40	0	Forest 4A
52	98600,301200	125700,318100	-1	139	21	100	20	40	0	Forest 5
53	98600,301200	110000,312100	-1	93	49	100	25	40	0	Forest 5A
54	115000,307200	124700,316100	-1	135	31	100	30	40	0	Forest 5B
55	103800,303900	106600,303600	-1	211	1	100	300	40	0	Forest 5C
56	83500,254000	103400,283500	-1	128	24	100	70	40	0	Forest 6
57	90500,254000	103400,263500	-1	277	35	100	80	40	0	Forest 6A
58	87500,266000	99400,283500	-1	253	45	100	70	40	0	Forest 6B
59	83500,283500	98600,314800	-1	189	18	100	20	40	0	Forest 7
60	86500,291500	95600,302800	-1	64	45	100	30	40	0	Forest 7A
61	29300,223500	59100,253300	-1	205,107,248	30,40,50	100,100,100	120,120,120	40	0	Forest 8
62	35300,243500	59100,253300	-1	520,566	22,22	100,100	120,120	40	0	Forest 8A
63	53100,223500	59100,243300	-1	543	48	100	120	40	0	Forest 8B
64	29300,223500	53100,243300	-1	567,568	58,58	100,100	120,120	40	0	Forest 8C
65	29500,252000	63200,279300	-1	205,107,248	38,58,58	100,100,100	120,120,120	40	0	Forest 9
66	29600,253000	45000,265000	-1	67	48	100	120	40	0	Forest 9A
67	46100,253000	63100,265000	-1	245,212	24,24	100,100	120,120	40	0	Forest 9B
68	30500,267000	45900,278200	-1	197	48	100	120	40	0	Forest 9C
69	46100,267000	63100,278200	-1	66	48	100	120	40	0	Forest 9D
70	63200,253300	78300,278100	-1	85,224	10,10	100,100	25,20	40	0	Forest 10
71	63200,253300	73300,265100	-1	204	24	100	40	40	0	Forest 10A
72	68200,263300	78300,276100	-1	140	28	100	40	40	0	Forest 10B
73	56400,279500	81000,308800	-1	205,107,248	50,40,50	100,100,100	120,120,120	40	0	Forest 11
74	70000,279500	81000,308800	-1	500,271	50,50	100,100	82,84	40	0	Forest 11A
75	56400,280000	68000,292800	-1	37	50	100	92	40	0	Forest 11B
76	56400,294800	68000,308800	-1	518	33	100	120	40	0	Forest 11C
77	48900,138800	62300,163500	-1	500,107,86,249	15,15,15,15	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 1
78	49900,139800	61300,148000	-1	513	39	100	106	40	0	Lower Thundoria 1A
79	49900,149000	61300,162500	-1	41	39	100	106	40	0	Lower Thundoria 1B		
80	49300,164000	84500,180300	-1	500,107,86,249	12,12,12,12	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 2		
81	58000,166000	84500,177000	-1	505	48	100	102	40	0	Lower Thundoria 2A		
82	49300,164000	53000,180300	-1	267	44	100	104	40	0	Lower Thundoria 2B		
83	85100,138400	98800,177900	-1	500,107,86,249	10,10,10,10	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 3		
84	88100,148400	95800,167900	-1	261,541	38,38	100,100	106,106	40	0	Lower Thundoria 3A		
85	53000,182100	73300,253000	-1	500,107,86,249	12,12,12,12	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 4		
86	54000,183100	72300,217000	-1	503	67	100	98	40	0	Lower Thundoria 4A		
87	76200,181700	91400,202900	-1	500,107,86,249	12,12,12,12	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 5		
88	79200,185700	86400,198900	-1	107	105	100	98	40	0	Lower Thundoria 5A		
89	28300,206300	76200,220100	-1	205,107,248	95,95,95	100,100,100	120,120,120,120	40	0	Lower Thundoria 7		
90	28500,205300	38500,219000	-1	522	39	100	120	40	0	Lower Thundoria 7A		
91	40000,205300	50000,219000	-1	511,201	20,20	100,100	120,120	40	0	Lower Thundoria 7B		
92	53000,205300	63000,219000	-1	549	39	100	120	40	0	Lower Thundoria 7C		
93	65000,205300	76000,219000	-1	205,250	20,20	100,100	120,120	40	0	Lower Thundoria 7D		
94	77800,202600	87400,227400	-1	500,107,86,249	17,17,17,17	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 8		
95	79800,207600	85400,225400	-1	248	70	100	92	40	0	Lower Thundoria 8A
96	77500,227800	87400,251400	-1	500,107,86,249	17,17,17,17	100,100,100,100	100,100,100,100	40	0	Lower Thundoria 10
97	78500,237400	85400,250400	-1	86	38	100	84	40	0	Lower Thundoria 10A
98	78500,227800	85400,235400	-1	249	44	100	86	40	0	Lower Thundoria 10B
99	30000,128500	49000,152200	-1	500,107,86,249	10,10,10,10	100,100,100,100	100,100,100,100	40	0	Upper Thundoria 1
100	32000,130000	40000,138000	-1	508	20	100	120	40	0	Upper Thundoria 1A
101	40000,126000	48000,138000	-1	514	39	100	108	40	0	Upper Thundoria 1B
102	32000,138000	40000,150000	-1	52,565	20,20	100,100	120,120	40	0	Upper Thundoria 1C
103	40000,138000	48000,150000	-1	42	39	100	108	40	0	Upper Thundoria 1D
104	57000,104100	78100,137800	-1	500,107,86,249	10,10,10,10	100,100,100,100	100,100,100,100	40	0	Upper Thundoria 2
105	67000,106100	77100,115000	-1	541	57	100	120	40	0	Upper Thundoria 2A
106	58000,120000	67100,137800	-1	38	57	100	120	40	0	Upper Thundoria 2B
107	69000,120000	78100,137800	-1	515	43	100	120	40	0	Upper Thundoria 2C
108	77200,104100	100000,137700	-1	500,107,86,249	10,10,10,10	100,100,100,100	100,100,100,100	40	0	Upper Thundoria 3
109	78200,105100	88000,120000	-1	521	44	100	120	40	0	Upper Thundoria 3A
110	89000,105100	100000,120000	-1	261	44	100	120	40	0	Upper Thundoria 3B
111	82200,121000	95000,135700	-1	284	57	100	120	40	0	Upper Thundoria 3C
112	30000,152200	49100,178000	-1	500,107,86,249	15,15,15,15	100,100,100,100	100,100,100,100	40	0	Upper Thundoria 4
113	41000,153200	48100,161000	-1	666	33	100	120	40	0	Upper Thundoria 4A
114	41000,162000	46100,176000	-1	202	25	100	120	40	0	Upper Thundoria 4B
115	30000,156200	38000,160000	-1	546	11	100	120	40	0	Upper Thundoria 4C
116	4100,20000	175700,95900	-1	97,90	100,100	100,100	25,26	40	0	Ocean 1
117	4100,24000	110000,54000	-1	242,592	75,75	100,100	76,76	40	0	Ocean 1A
118	4100,60000	110000,90000	-1	610,199	70,70	100,100	78,78	40	0	Ocean 1B
119	130000,35000	165700,75000	-1	598,614	74,74	100,100	66,70	40	0	Ocean 1C
120	179700,20000	331600,137300	-1	242,92	150,150	100,100	76,72	40	0	Ocean 2
121	180000,20000	230000,60000	-1	78,581	55,55	100,100	90,92	40	0	Ocean 2A
122	230000,20000	280000,60000	-1	601,619,600	31,31,31	100,100,100	96,96,92	40	0	Ocean 2B
123	280000,20000	330000,60000	-1	54,634	52,52	100,100	80,82	40	0	Ocean 2C
124	180000,110000	210000,147300	-1	573,574,650	40,40,10	100,100,100	108,110,116	40	0	Ocean 2D
125	235000,110000	323000,147300	-1	573,574,650	70,70,30	100,100,100	108,110,116	40	0	Ocean 2E
126	333400,20000	406000,64000	-1	97,90	55,55	100,100	25,26	40	0	Ocean 3
127	338400,15000	400000,49500	-1	602	115	100	100	40	0	Ocean 3A
128	333400,92000	406000,139100	-1	60,90	115,115	100,100	27,26	40	0	Ocean 4
129	103100,98500	180400,185200	-1	97,90	80,80	100,100	25,26	40	0	Ocean 5
130	139100,100000	175400,140000	-1	90,613	36,36	100,100	26,26	40	0	Ocean 5A
131	129100,145200	160400,175200	-1	90,595	42,42	100,100	26,25	40	0	Ocean 5B
132	101600,186000	233600,234600	-1	97,90	50,50	100,100	25,26	40	0	Ocean 6
133	105000,188000	165000,208000	-1	614,572	42,42	100,100	70,74	40	0	Ocean 6A
134	105000,210000	165000,230000	-1	92,59	42,42	100,100	72,70	40	0	Ocean 6B
135	170000,190000	231000,232000	-1	91,599	40,40	100,100	64,68	40	0	Ocean 6C
136	266400,143600	406000,238000	-1	97,90	100,100	100,100	25,26	40	0	Ocean 7
137	270000,173600	340000,208000	-1	92	102	100	72	40	0	Ocean 7A
138	346000,145600	406000,185600	-1	242	157	100	76	40	0	Ocean 7B
139	346000,196000	406000,236000	-1	592	157	100	76	40	0	Ocean 7C
140	230400,241600	320000,330000	-1	97,90	50,50	100,100	25,26	40	0	Ocean 8
141	280000,241600	320000,271600	-1	97,595	46,46	100,100	25,25	40	0	Ocean 8A
142	238400,286600	280000,328000	-1	97,595	50,50	100,100	25,25	40	0	Ocean 8B
143	330000,242400	406000,330000	-1	97,90	70,70	100,100	25,26	40	0	Ocean 9
144	370000,245400	406000,275400	-1	90,613	42,42	100,100	26,26	40	0	Ocean 9A
145	332000,280000	366000,330000	-1	90,613	52,52	100,100	26,26	40	0	Ocean 9B
146	380000,300000	406000,330000	-1	60,575	42,42	100,100	27,27	40	0	Ocean 9C
147	4100,322000	221600,398800	-1	97,90	100,100	100,100	25,26	40	0	Ocean 10
148	4300,324000	10000,396800	-1	92	50	100	36	40	0	Ocean 10A
149	102000,324000	160000,396800	-1	633,58	102,102	100,100	36,37	40	0	Ocean 10B
150	161000,324000	221000,396800	-1	91,579	110,110	100,100	32,33	40	0	Ocean 10C
151	223800,334400	406000,397200	-1	97,91,92	20,100,100	100,100,100	25,32,36	40	0	Ocean 11
152	243800,334400	303800,367200	-1	626,658	44,44	100,100	102,106	40	0	Ocean 11A
153	323800,334400	383800,367200	-1	645,654	54,54	100,100	104,106	40	0	Ocean 11B
154	253800,370000	376000,397200	-1	660,583	90,90	100,100	112,112	40	0	Ocean 11C
155	223700,250500	233700,260500	-1	841	1	100	1800	40	0	Mini Boss
156	157400,296700	167400,306700	-1	846	1	100	1800	40	0	Mini Boss
157	136400,284600	146400,294600	-1	848	1	100	1800	40	0	Mini Boss
158	86000,292100	87000,302100	-1	850	1	100	1800	40	0	Mini Boss
159	109300,265500	119300,275500	-1	851	1	100	1800	40	0	Mini Boss
160	300000,35000	310000,45000	-1	854	1	100	1800	40	0	Mini Boss
