//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	Region ID
32	118300,304500	127900,322000	-1	43	10	100	15	40	0	Shaitan 14
33	119300,305500	126900,316000	-1	49	37	100	25	40	0	Shaitan 14A
34	112000,345500	124900,362900	-1	96,218	11,14	100,100	10,10	40	0	Shaitan 15
35	113000,350500	123900,360900	-1	188,247	28,21	100,100	10,10	40	0	Shaitan 15A
36	126800,340000	140000,347600	-1	100	9	100	60	40	0	Shaitan 16
37	128800,341000	138000,346600	-1	129	42	100	20	40	0	Shaitan 16A
38	140000,339000	152600,347600	-1	251	10	100	30	40	0	Shaitan 17
39	140000,339000	147600,343600	-1	251	5	100	40	40	0	Shaitan 17A
40	149600,342600	151600,344600	-1	290,145	1,3	100,100	300,40	40	0	Shaitan 17B
41	137000,290000	147100,303700	-1	43	14	100	15	40	0	Shaitan 18
42	138000,294000	146100,300700	-1	241	46	100	30	40	0	Shaitan 18A
43	81500,309000	95400,322200	-1	218	17	100	10	40	0	Shaitan 19
44	84500,311000	92400,320200	-1	43	52	100	15	40	0	Shaitan 19A
45	96400,309000	117000,322700	-1	294	10	100	15	40	0	Shaitan 20
46	101400,309000	116000,316700	-1	45	42	100	20	40	0	Shaitan 20A
47	129800,305600	146400,321200	-1	186,68,65,263,568	10,8,8,6,4	100,100,100,100,100	50,120,120,120,120	40	0	Barren Cavern
48	4100,55000	227600,102400	-1	97,90	90,90	100,100	25,26	40	0	Ocean 2
49	258800,54400	406000,102400	-1	193,90,91	62,62,132	100,100,100	28,26,64	40	0	Ocean 3
50	4100,105200	122800,276400	-1	193,60,92,242	110,110,110,110	100,100,100,100	28,27,72,76	40	0	Ocean 4
51	80000,105200	100000,156400	-1	642,643	25,25	100,100	120,120	40	0	Ocean 4A
52	100000,105200	122800,156400	-1	590,591	25,25	100,100	120,120	40	0	Ocean 4B
53	80000,160000	100000,240000	-1	652,588	22,22	100,100	120,120	40	0	Ocean 4C
54	80000,240000	122800,270000	-1	587	45	100	120	40	0	Ocean 4D
55	80000,160000	122800,276400	-1	644,648,649	21,21,21	100,100,100	120,120,120	40	0	Ocean 4E
56	125200,104800	339200,229200	-1	54,78	230,230	100,100	120,120	40	0	Ocean 5
57	175200,104800	225200,154800	-1	105,609,629	1,49,49	100,100,100	300,120,120	40	0	Ocean 5A
58	285200,104800	339200,154800	-1	647,627	43,43	100,100	120,120	40	0	Ocean 5B
59	125200,164800	175200,229200	-1	657,627	51,51	100,100	120,120	40	0	Ocean 5C
60	225200,164800	339200,229200	-1	89,608,628	1,42,42	100,100,100	300,120,120	40	0	Ocean 5D
61	342000,105600	406000,282800	-1	193,60	120,120	100,100	28,27	40	0	Ocean 6
62	350000,110000	400000,145000	-1	621,639	55,55	100,100	120,120	40	0	Ocean 6A
63	350000,150000	400000,185000	-1	625	116	100	120	40	0	Ocean 6B
64	350000,190000	400000,225000	-1	646	102	100	120	40	0	Ocean 6C
65	350000,230000	400000,265000	-1	640,641	50,50	100,100	120,120	40	0	Ocean 6D
66	124800,230000	233600,275600	-1	97,90	60,60	100,100	25,26	40	0	Ocean 7
67	124800,230000	174800,275600	-1	92,597,578	45,45,45	100,100,100	120,120,120	40	0	Ocean 7A
68	184800,230000	233600,275600	-1	593,594,656	55,55,29	100,100,100	98,100,104	40	0	Ocean 7B
69	271200,232800	339200,282400	-1	97,90	40,40	100,100	25,26	40	0	Ocean 8
70	289200,232800	339200,282400	-1	593,594,656	50,50,13	100,100,100	98,100,104	40	0	Ocean 8A
71	4100,278400	57200,340400	-1	97,90	53,53	100,100	25,26	40	0	Ocean 9
72	156400,285200	307200,398800	-1	97,90	100,100	100,100	25,26	40	0	Ocean 10
73	160000,285200	230000,340000	-1	92,632	88,88	100,100	72,28	40	0	Ocean 10A
74	233000,285200	303000,340000	-1	53,44	86,86	100,100	30,30	40	0	Ocean 10B
75	233000,343000	303200,393800	-1	91,577	81,81	100,100	64,62	40	0	Ocean 10C
76	160000,343000	230000,360000	-1	593,594	19,19	100,100	98,100	40	0	Ocean 10D
77	183200,360000	210000,393800	-1	656	39	100	104	40	0	Ocean 10E
78	309600,285600	406000,397200	-1	193,90,242	100,30,80	100,100,100	28,26,76	40	0	Ocean 11
79	359600,285600	406000,337200	-1	623,586	58,58	100,100	120,120	40	0	Ocean 11A
80	359600,345600	406000,397200	-1	605,624	105,105	100,100	120,120	40	0	Ocean 11B
81	4100,337600	78000,398800	-1	97,60	40,40	100,100	25,27	40	0	Ocean 12
82	4100,370000	73600,398800	-1	97,193	42,42	100,100	25,28	40	0	Ocean 12A
83	76000,375000	155000,397200	-1	97,60,193	55,55,55	100,100,100	25,27,28	40	0	Ocean 13
84	214000,360000	228000,393800	-1	593	35	100	98	40	0	Ocean 13A
85	185000,175000	215000,215000	-1	648,649	40,40	100	180	40	0	Sight 10A
86	200000,200000	200000,200000	-1	685	1	100	7200	40	0	Sight 10B
87	85700,321700	95700,331700	-1	843	1	100	1800	40	0	Mini Boss 
88	117500,322000	127500,322000	-1	847	1	100	1800	40	0	Mini Boss 
89	105700,292700	113100,297800	-1	849	1	100	1800	40	0	Mini Boss 
90	190000,307600	200000,317600	-1	853	1	100	1800	40	0	Mini Boss 
